Min_Temp,Rainfall,Cloud_Coverage,Station_Number,ALT,rain_latitude,rain_longitude,dist_to_water,Flood
15.0,0.0,0.7,41943,8,0.0,0.0,0.0149348848333331,0
19.3,12.0,1.3,41883,20,298.56,1072.32,0.003549754522419,0
20.7,22.0,1.1,41989,6,480.26,2020.48,0.0117053903221438,0
19.9,121.0,2.9,41933,10,2841.08,11033.99,0.0019168690505087,0
14.0,0.0,0.5,41964,6,0.0,0.0,0.004640548819188,0
16.8,68.0,2.2,41915,23,1651.72,6237.64,0.0130790497151562,0
14.3,0.0,0.7,41947,4,0.0,0.0,0.0003225056185209,0
26.1,244.0,5.7,41886,19,6039.0,22060.04,0.0078053252420728,0
22.8,347.0,3.6,41947,4,7911.6,31084.26,0.0003225056185209,0
14.9,79.0,2.2,41966,63,1790.93,7283.8,0.0457193345892512,0
25.4,712.0,6.3,41953,6,16254.96,64848.96,0.0046592178673608,1
12.2,0.0,0.5,41933,10,0.0,0.0,0.0019168690505087,0
18.8,42.0,3.2,41939,5,973.1400000000001,3787.5600000000004,0.0005240409237834,0
15.3,0.0,0.8,41965,4,0.0,0.0,0.0025590535107815,0
17.9,20.0,1.3,41936,7,463.40000000000003,1784.4,0.0003710520096859,0
26.2,570.0,6.2,41883,20,14181.599999999999,50935.2,0.003549754522419,1
25.5,141.0,5.2,41936,7,3266.9700000000003,12580.02,0.0003710520096859,0
14.5,0.0,0.6,41923,9,0.0,0.0,0.0462193970000068,0
24.9,50.0,2.3,41941,7,1163.0,4533.5,0.0583140117133964,0
22.9,322.0,4.0,41951,5,7309.4,29192.52,0.0212472319109508,0
25.1,54.0,4.3,41965,4,1222.56,4948.56,0.0025590535107815,0
11.1,9.0,1.7,41915,23,218.60999999999999,825.57,0.0130790497151562,0
13.3,0.0,0.6,41929,9,0.0,0.0,0.0134487712682381,0
13.3,20.0,2.5,41936,7,463.40000000000003,1784.4,0.0003710520096859,0
22.6,783.0,6.3,41915,23,19019.07,71824.59,0.0130790497151562,1
24.4,92.0,3.6,41947,4,2097.6,8241.36,0.0003225056185209,0
25.9,729.0,6.5,41951,5,16548.3,66091.14,0.0212472319109508,1
23.3,635.0,4.3,41978,6,14185.9,58286.65,0.0346637816973608,1
21.2,170.0,3.9,41891,35,4229.599999999999,15628.1,0.0046703924424522,0
22.9,158.0,3.1,41941,7,3675.0800000000004,14325.86,0.0583140117133964,0
15.7,0.0,0.9,41907,14,0.0,0.0,0.0099986767349043,0
16.2,0.0,0.8,41984,3,0.0,0.0,0.0012831587583359,0
22.3,427.0,5.2,41915,23,10371.83,39168.71,0.0130790497151562,0
24.4,127.0,4.0,41992,4,2725.42,11681.460000000001,0.0028442540421091,0
23.4,117.0,4.2,41947,4,2667.6,10480.86,0.0003225056185209,0
24.7,528.0,6.3,41929,9,12466.08,47435.520000000004,0.0134487712682381,1
26.2,544.0,6.3,41951,5,12348.8,49319.04,0.0212472319109508,1
21.5,191.0,4.0,41859,34,4912.5199999999995,17048.66,0.0042165446025983,0
25.5,148.0,6.5,41950,4,3359.6,13373.28,0.0039501573256362,0
17.1,11.0,1.4,41964,6,247.5,1006.06,0.004640548819188,0
15.8,0.0,1.2,41923,9,0.0,0.0,0.0462193970000068,0
26.3,265.0,5.5,41859,34,6815.799999999999,23653.9,0.0042165446025983,0
16.5,71.0,2.2,41891,35,1766.48,6527.030000000001,0.0046703924424522,0
25.8,373.0,6.7,41923,9,8869.94,33715.47,0.0462193970000068,0
21.7,54.0,3.4,41923,9,1284.1200000000001,4881.06,0.0462193970000068,0
10.9,33.0,1.4,41863,37,845.79,2925.7799999999997,0.0119194042792794,0
25.6,313.0,4.1,41998,4,6532.31,28877.38,0.0014734056210103,0
25.3,712.0,7.4,41891,35,17714.559999999998,65454.16,0.0046703924424522,1
19.3,0.0,2.0,41951,5,0.0,0.0,0.0212472319109508,0
25.8,559.0,6.6,41984,3,12286.82,50432.979999999996,0.0012831587583359,1
14.0,0.0,1.0,41966,63,0.0,0.0,0.0457193345892512,0
12.5,52.0,1.1,41863,37,1332.76,4610.32,0.0119194042792794,0
13.8,0.0,0.1,41943,8,0.0,0.0,0.0149348848333331,0
10.7,82.0,2.4,41915,23,1991.78,7521.860000000001,0.0130790497151562,0
23.7,2.0,3.6,41966,63,45.34,184.4,0.0457193345892512,0
17.9,13.0,1.9,41936,7,301.21000000000004,1159.86,0.0003710520096859,0
23.0,170.0,3.1,41886,19,4207.5,15369.699999999999,0.0078053252420728,0
12.1,0.0,0.9,41946,6,0.0,0.0,0.0002734213434593,0
23.0,38.0,2.8,41929,9,897.18,3413.92,0.0134487712682381,0
25.2,32.0,2.4,41936,7,741.44,2855.04,0.0003710520096859,0
23.9,237.0,3.0,41992,4,5086.02,21799.260000000002,0.0028442540421091,0
26.7,399.0,6.3,41895,20,9715.650000000001,35335.44,0.0052119540951878,1
19.3,0.0,1.8,41859,34,0.0,0.0,0.0042165446025983,0
14.2,20.0,1.4,41936,7,463.40000000000003,1784.4,0.0003710520096859,0
12.3,0.0,0.7,41883,20,0.0,0.0,0.003549754522419,0
16.9,4.0,1.4,41992,4,85.84,367.92,0.0028442540421091,0
25.2,258.0,5.8,41933,10,6057.84,23527.02,0.0019168690505087,0
25.69655172,668.0,5.95862069,41989,6,14582.439999999999,61349.12,0.0117053903221438,1
22.9,37.0,2.6,41978,6,826.58,3396.23,0.0346637816973608,0
25.5,349.0,6.6,41943,8,8030.490000000001,31888.13,0.0149348848333331,0
23.8,714.0,6.1,41891,35,17764.32,65638.02,0.0046703924424522,1
23.5,115.0,3.1,41953,6,2625.45,10474.199999999999,0.0046592178673608,0
11.5,0.0,0.2,41966,63,0.0,0.0,0.0457193345892512,0
11.5,0.0,0.6,41936,7,0.0,0.0,0.0003710520096859,0
24.1,111.0,4.6,41965,4,2513.04,10172.04,0.0025590535107815,0
15.3,5.0,2.2,41978,6,111.7,458.95000000000005,0.0346637816973608,0
25.3,630.0,6.5,41989,6,13752.9,57859.200000000004,0.0117053903221438,1
22.4,311.0,4.3,41863,37,7970.929999999999,27573.26,0.0119194042792794,1
26.0,14.0,2.5,41964,6,315.0,1280.4399999999998,0.004640548819188,0
11.2,0.0,0.9,41946,6,0.0,0.0,0.0002734213434593,0
17.4,0.0,1.2,41933,10,0.0,0.0,0.0019168690505087,0
14.9,0.0,0.5,41978,6,0.0,0.0,0.0346637816973608,0
12.0,16.0,1.1,41883,20,398.08,1429.76,0.003549754522419,0
24.8,1002.0,6.8,41992,4,21502.920000000002,92163.96,0.0028442540421091,1
17.7,0.0,1.6,41886,19,0.0,0.0,0.0078053252420728,0
26.1,355.0,4.7,41947,4,8094.0,31800.899999999998,0.0003225056185209,0
25.0,925.0,6.7,41989,6,20192.75,84952.0,0.0117053903221438,1
25.1,316.0,5.6,41943,8,7271.160000000001,28872.920000000002,0.0149348848333331,0
24.3,53.0,3.8,41966,63,1201.51,4886.6,0.0457193345892512,0
25.3,255.0,4.7,41964,6,5737.5,23322.3,0.004640548819188,0
23.9,196.0,2.6,41941,7,4558.96,17771.32,0.0583140117133964,0
23.5,162.0,3.7,41863,37,4152.0599999999995,14362.92,0.0119194042792794,1
25.1,499.0,6.2,41891,35,12415.119999999999,45873.07000000001,0.0046703924424522,1
12.5,9.0,1.3,41907,14,217.08,801.36,0.0099986767349043,0
17.2,0.0,1.4,41998,4,0.0,0.0,0.0014734056210103,0
13.0,0.0,2.3,41950,4,0.0,0.0,0.0039501573256362,0
25.4,330.0,5.7,41953,6,7533.9,30056.399999999998,0.0046592178673608,0
25.3,304.0,5.2,41966,63,6891.68,28028.8,0.0457193345892512,0
17.8,0.0,0.8,41909,10,0.0,0.0,0.0038682829869594,0
22.4,0.0,0.7,41998,4,0.0,0.0,0.0014734056210103,0
25.5,327.0,6.7,41960,3,7311.72,29541.18,0.0014644257439875,0
25.0,22.0,2.3,41915,23,534.38,2018.0600000000002,0.0130790497151562,0
11.7,0.0,0.3,41950,4,0.0,0.0,0.0039501573256362,0
25.6,181.0,5.8,41936,7,4193.77,16148.82,0.0003710520096859,0
13.3,0.0,1.4,41907,14,0.0,0.0,0.0099986767349043,0
25.4,653.0,6.7,41859,34,16795.16,58286.780000000006,0.0042165446025983,1
25.6,291.0,4.2,41859,34,7484.5199999999995,25974.66,0.0042165446025983,0
14.6,1.0,1.2,41964,6,22.5,91.46,0.004640548819188,0
25.5,481.0,6.1,41978,6,10745.539999999999,44150.990000000005,0.0346637816973608,0
9.8,46.0,1.7,41863,37,1178.98,4078.3599999999997,0.0119194042792794,0
13.9,0.0,2.1,41929,9,0.0,0.0,0.0134487712682381,0
13.7,18.0,0.9,41863,37,461.34,1595.8799999999999,0.0119194042792794,0
23.9,263.0,4.9,41936,7,6093.71,23464.86,0.0003710520096859,0
25.1,330.0,6.2,41915,23,8015.7,30270.9,0.0130790497151562,0
26.3,577.0,6.4,41923,9,13721.060000000001,52155.03,0.0462193970000068,0
23.5,5.0,2.2,41929,9,118.05,449.20000000000005,0.0134487712682381,0
22.4,49.0,1.1,41984,3,1077.02,4420.78,0.0012831587583359,0
26.2,264.0,6.0,41863,37,6766.32,23406.239999999998,0.0119194042792794,1
13.8,0.0,0.4,41958,4,0.0,0.0,0.002883257842594,0
25.2,302.0,4.7,41863,37,7740.259999999999,26775.32,0.0119194042792794,1
12.9,16.0,0.8,41886,19,396.0,1446.56,0.0078053252420728,0
25.5,347.0,6.3,41992,4,7446.62,31917.06,0.0028442540421091,0
18.4,0.0,1.2,41953,6,0.0,0.0,0.0046592178673608,0
17.0,0.0,0.1,41947,4,0.0,0.0,0.0003225056185209,0
26.2,933.0,7.0,41953,6,21300.39,84977.64,0.0046592178673608,1
15.4,37.0,0.9,41929,9,873.5699999999999,3324.08,0.0134487712682381,0
25.2,350.0,6.7,41984,3,7693.0,31577.0,0.0012831587583359,0
23.0,507.0,4.7,41964,6,11407.5,46370.219999999994,0.004640548819188,1
25.1,1172.0,7.0,41891,35,29159.36,107741.96,0.0046703924424522,1
26.2,515.0,6.2,41883,20,12813.199999999999,46020.4,0.003549754522419,1
23.2,276.0,4.2,41883,20,6866.88,24663.36,0.003549754522419,0
23.5,73.0,3.4,41936,7,1691.41,6513.0599999999995,0.0003710520096859,0
25.5,566.0,4.9,41963,4,12616.14,51579.579999999994,0.0035436366454311,1
14.0,0.0,1.0,41939,5,0.0,0.0,0.0005240409237834,0
25.9,274.0,5.7,41960,3,6126.639999999999,24753.16,0.0014644257439875,0
19.2,0.0,0.9,41923,9,0.0,0.0,0.0462193970000068,0
25.9,443.0,6.3,41960,3,9905.48,40020.62,0.0014644257439875,1
19.7,8.0,1.8,41939,5,185.36,721.44,0.0005240409237834,0
13.5,5.625,0.8,41941,7,130.8375,510.01875,0.0583140117133964,0
14.7,5.0,0.6,41929,9,118.05,449.20000000000005,0.0134487712682381,0
26.1,261.0,5.0,41863,37,6689.429999999999,23140.26,0.0119194042792794,1
22.7,249.0,3.4,41943,8,5729.490000000001,22751.13,0.0149348848333331,0
25.8,520.0,6.6,41953,6,11871.599999999999,47361.6,0.0046592178673608,1
14.6,0.0,2.0,41966,63,0.0,0.0,0.0457193345892512,0
23.5,54.0,3.2,41936,7,1251.18,4817.88,0.0003710520096859,0
16.1,14.0,2.2,41966,63,317.38,1290.8,0.0457193345892512,0
25.8,262.0,6.3,41895,20,6379.700000000001,23202.72,0.0052119540951878,1
22.5,495.0,5.0,41886,19,12251.25,44752.95,0.0078053252420728,1
25.3,222.0,6.3,41863,37,5689.86,19682.52,0.0119194042792794,1
26.2,448.0,5.9,41941,7,10420.480000000001,40620.16,0.0583140117133964,1
25.8,176.0,3.9,41907,14,4245.12,15671.04,0.0099986767349043,0
20.9,47.0,4.3,41960,3,1050.92,4245.9800000000005,0.0014644257439875,0
12.8,45.0,1.1,41895,20,1095.75,3985.2000000000003,0.0052119540951878,0
25.5,339.0,6.2,41966,63,7685.130000000001,31255.8,0.0457193345892512,0
12.8,15.0,0.2,41946,6,340.2,1336.05,0.0002734213434593,0
21.1,79.0,3.1,41950,4,1793.3,7138.44,0.0039501573256362,0
25.8,140.0,5.0,41895,20,3409.0,12398.4,0.0052119540951878,0
25.0,1784.0,6.6,41964,6,40140.0,163164.63999999998,0.004640548819188,1
15.0,0.0,2.4,41895,20,0.0,0.0,0.0052119540951878,0
12.8,6.0,2.1,41929,9,141.66,539.04,0.0134487712682381,0
16.1,44.0,1.5,41978,6,982.96,4038.76,0.0346637816973608,0
25.7,450.0,6.2,41907,14,10854.0,40068.0,0.0099986767349043,1
26.5,259.0,6.0,41946,6,5874.12,23069.129999999997,0.0002734213434593,0
14.8,0.0,0.9,41929,9,0.0,0.0,0.0134487712682381,0
25.2,218.0,5.4,41943,8,5016.18,19918.66,0.0149348848333331,0
25.3,175.0,3.7,41978,6,3909.5,16063.250000000002,0.0346637816973608,0
26.5,347.0,6.6,41947,4,7911.6,31084.26,0.0003225056185209,0
25.6,217.0,6.4,41915,23,5270.929999999999,19905.41,0.0130790497151562,0
16.3,49.0,1.4,41953,6,1118.6699999999998,4462.92,0.0046592178673608,0
26.1,68.0,3.1,41947,4,1550.4,6091.44,0.0003225056185209,0
13.0,49.0,1.3,41909,10,1183.35,4387.95,0.0038682829869594,0
24.8,320.0,5.7,41951,5,7264.0,29011.199999999997,0.0212472319109508,0
10.9,0.0,2.7,41907,14,0.0,0.0,0.0099986767349043,0
24.8,549.0,6.0,41943,8,12632.490000000002,50162.130000000005,0.0149348848333331,1
13.0,54.0,2.4,41915,23,1311.6599999999999,4953.42,0.0130790497151562,0
23.5,130.0,2.9,41998,4,2713.1,11993.800000000001,0.0014734056210103,0
23.9,106.0,2.7,41941,7,2465.56,9611.02,0.0583140117133964,0
